date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:06	515/515	---M-Z	200	added ('OK')	text/css	etag:%22203-5f1d4a68d14f2-gzip%22	https://www.switchmobilityev.com/core/themes/classy/css/components/details.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/classy/css/components/details8496.css	(from https://www.switchmobilityev.com/en)
15:58:06	951/951	---M-Z	200	added ('OK')	text/css	etag:%223b7-5f1d4a68d2492-gzip%22	https://www.switchmobilityev.com/core/themes/classy/css/components/exposed-filters.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/classy/css/components/exposed-filters8496.css	(from https://www.switchmobilityev.com/en)
15:58:07	551/551	---M-Z	200	added ('OK')	text/css	etag:%22227-5f1d4a68d14f2-gzip%22	https://www.switchmobilityev.com/core/themes/classy/css/components/field.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/classy/css/components/field8496.css	(from https://www.switchmobilityev.com/en)
15:58:07	2288/2288	---M-Z	200	added ('OK')	text/css	etag:%228f0-5f1d4a68d2492-gzip%22	https://www.switchmobilityev.com/core/themes/classy/css/components/form.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/classy/css/components/form8496.css	(from https://www.switchmobilityev.com/en)
15:58:07	442/442	---M-Z	200	added ('OK')	text/css	etag:%221ba-5f1d4a68d2492-gzip%22	https://www.switchmobilityev.com/core/themes/classy/css/components/icons.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/classy/css/components/icons8496.css	(from https://www.switchmobilityev.com/en)
15:58:08	774/774	---M-Z	200	added ('OK')	text/css	etag:%22306-5f1d4a68d14f2-gzip%22	https://www.switchmobilityev.com/core/themes/classy/css/components/inline-form.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/classy/css/components/inline-form8496.css	(from https://www.switchmobilityev.com/en)
15:58:08	233/233	---M-Z	200	added ('OK')	text/css	etag:%22e9-5f1d4a68d14f2-gzip%22	https://www.switchmobilityev.com/core/themes/classy/css/components/link.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/classy/css/components/link8496.css	(from https://www.switchmobilityev.com/en)
15:58:08	366/366	---M-Z	200	added ('OK')	text/css	etag:%2216e-5f1d4a68d14f2-gzip%22	https://www.switchmobilityev.com/core/themes/classy/css/components/links.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/classy/css/components/links8496.css	(from https://www.switchmobilityev.com/en)
15:58:09	706/706	---M-Z	200	added ('OK')	text/css	etag:%222c2-5f1d4a68d2492-gzip%22	https://www.switchmobilityev.com/core/themes/classy/css/components/menu.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/classy/css/components/menu8496.css	(from https://www.switchmobilityev.com/en)
15:58:09	183/183	---M-Z	200	added ('OK')	text/css	etag:%22b7-5f1d4a68d14f2-gzip%22	https://www.switchmobilityev.com/core/themes/classy/css/components/more-link.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/classy/css/components/more-link8496.css	(from https://www.switchmobilityev.com/en)
